Name,Nos
Extension Embox White,1
Extesion Black &White ,2
Extension Impro White,1
Extension Yellow ,1
Gree Led,14
Red Led,16
Blue Led,8
RGB Led,1
Yellow,2
DHT,8
Soil Sensor Module,1
Soil Sensor,1
LDR Sensor,3
Vibrator Sensor,1
PIR Motion Sensor,1
Water Level Sensor,1
Hard disk Data Reader,1
GSM 800L,2
WIFI Card Laptop,1
MPU 6050,3
Antena Spring,2
Aligator Clip,4
Keltron Capacitor 25V,4
RFID-RC522,2
RFID Tag,2
Potentio Meter,1
Joystick ,1
Gas Sensor Module,1
IR Receiver,1
Stepper Motor Driver with Heat Sink,4
USB to SD Card Reader,2
USB to C OTG,1
C to USB OTG,1
Header Pin 2o,6
Chargable Battery ,9
HW Battery,13
HW Battery Conector,1
AA Battery ,2
PCB Meadium,2
PCB Large,
PCB Small,
Bread Board Small,2
Bread Board Medium,1
Bread Board Large,2
4 Channel Relay,1
1 Channel Relay,1
Buck Converter Step Up,3
Motor Driver L298N,4
Motor Driver L293D Large,1
Motor Driver L293D Small,1
Motor Driver L293D Medium,1
DF Player,1
Mini Power Amplifier Board,1
Motor Driver DRV8833 2 Channel ,1
Switch KCD1 2 Pin Small,14
Switch KCD1 2 Pin Large,3
Push Button Red Large,4
Push Button Black Small,5
Ultra sonic HC-SR04,5
Buzzer Large ,2
IR Sensor ,11
8 Channel Sensor Line Follow,1
Raspberry Pi 3,2
Raspberry Pi 2,2
Servo Motor Small Blue,4
Servo Motor Large Black,3
DC Motor Yellow,3
Gear Motor,3
CD Motor,1
DC Motor Large,4
DC Motor Small ,1
DC Motor Medium,1
Motor Pumb Small ,2
Soldering Iron ,2
Soldering Iron Holder,1
Battery Charger ,1
Steel Scale Extra Large,1
Flex Kwik,5
Plastic Wrapper,1
Thread Small,3
Steel Scale Medium,1
Kool Modeling Clay,3
Fevicol 200g,1
Camlin White Glue 45g,1
Fevicol 20g,1
Black insulation Tape,1
Red Large Insulation Tape,1
Blue Large Insulation Tape,1
Transparent Tape Small,2
Transparent Tape Medium,1
Transparent Tape Large ,1
PTFE Thread Seal Tape,1
Camlin Paste 300ml,1
Aerotix Crystl Clear Tape,1
Screw Driver Green Minus Large,1
Screw Driver Green Plus Medium,1
Screw Driver Yellow Minus Medium,1
Tester ,3
Screw Driver Yellow Mins Small,1
Screw Driver Green Minus Small ,1
Screw Driver Kit Small,1
Screw Driver Kit Large,1
